PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,cluster,cluster_grouped,cluster_typ,assigned_perk,buchung,perk_encoded
1.0763617246375918,7.106031906028367,0.22909577077309784,-0.0008822566812964894,7.6129692085628955,28,28,Vielflieger,Free Checked Bag,0,2
3.1338226703159133,-0.752837238026732,-4.457761525064939,-1.2214958272815757,4.963999721678159,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
2.6834981025722997,-0.2593219868854847,-4.047207259450965,-1.583465851247797,5.674904612462411,26,26,Premium-Reisende,1 Night Free Hotel with Flight,1,0
4.619042943753037,-1.4277602353576002,-4.759328255389366,-1.7256310014072849,4.1724055170847185,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
3.315453967928559,-1.4660081084532706,-4.351928272092783,-2.182439007372695,4.952520705395825,26,26,Premium-Reisende,1 Night Free Hotel with Flight,1,0
-11.312721841660451,1.127545196159013,-0.12594270438780608,-1.9440073959680992,0.4774117884379723,34,34,Business-Reisende,No Cancellation Fees,1,4
0.8480959692740218,7.050553497092425,0.24805039733403444,0.038817138815632646,7.4274582319435245,28,28,Vielflieger,Free Checked Bag,1,2
-0.17255649110714266,6.755353591966507,0.31585632135500086,0.17308753602810523,6.539603477212183,28,28,Vielflieger,Free Checked Bag,0,2
3.6378005543138956,-0.6955434503148469,-4.204093806775572,-2.0217561013184877,5.426995702083545,26,26,Premium-Reisende,1 Night Free Hotel with Flight,1,0
3.919053844570119,-1.6555411789732766,-4.782133584810419,-1.7485774043883362,4.988562431577712,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
4.540308331852268,-0.7379335125136691,-4.8807373949301995,-1.1010127925124182,7.311670008526436,26,26,Premium-Reisende,1 Night Free Hotel with Flight,1,0
0.16409721865021343,6.921279388829342,0.31813813133347624,0.19168610436437206,6.91735285873245,28,28,Vielflieger,Free Checked Bag,0,2
-4.737746470634191,7.933009738199795,1.1503855484693644,2.080604332271479,-4.382575560606691,16,16,Sparsame Reisende,Exclusive Discounts,0,1
0.5568227129745562,6.999666508490574,0.2793931173442229,0.10773333808167695,7.215390779069848,28,28,Vielflieger,Free Checked Bag,1,2
4.289978004145761,-0.514772305811903,-4.528527937788671,-1.4983710347387245,5.417154819593422,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
4.431878681741391,-1.5657383765623898,-4.833778259768533,-1.9403529981225853,4.232721288705166,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
4.265518644847442,-0.4183153463230916,-4.575583766082502,-1.2376784776534366,3.7383496761548427,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
3.7987668468959286,-1.2101239223434075,-4.902490131234309,-1.146345134912787,7.804301175034029,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
2.7396583787894606,-1.4913737968071257,-4.622554894312968,-1.3651211542875918,4.091303132573216,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
0.4176093125729956,6.842632087827184,0.24666111597293416,0.018934729461520305,6.9496866794970105,28,28,Vielflieger,Free Checked Bag,0,2
-3.246224082025434,7.783639995924046,1.137719586358987,2.2191276442021715,-4.53660545992039,16,16,Sparsame Reisende,Exclusive Discounts,1,1
-4.760892031710689,7.963129463575431,1.1589847253972339,2.109917093961429,-4.245484065014454,16,16,Sparsame Reisende,Exclusive Discounts,1,1
-4.36769721232537,7.9658326498587755,1.1227169170605469,1.9925223026247967,-4.579193603099084,16,16,Sparsame Reisende,Exclusive Discounts,0,1
3.217669382405272,-1.3706107693749638,-5.161228220474131,-0.3051894541525537,5.040249645411193,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
2.9179203948937,-1.1402754838728355,-4.4462799384236975,-1.4566136808325645,4.899871292339535,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
0.9425919839678469,7.067679082603865,0.23810375539316975,0.01702470443438031,7.497021598412227,28,28,Vielflieger,Free Checked Bag,0,2
5.139865307951084,4.261424795187773,4.424467848862548,0.562637619288842,-1.239162553870285,57,57,Gelegenheitsreisende,Free Hotel Meal,1,3
-0.6636875029715292,6.212349287742725,0.25344095727513904,0.006748900932659563,6.6651773599108655,28,28,Vielflieger,Free Checked Bag,1,2
4.768774176518656,-0.4472410672584719,-4.285555200115258,-2.295712796358708,6.856708650525169,26,26,Premium-Reisende,1 Night Free Hotel with Flight,1,0
-4.3937519543497325,8.029224156353427,1.1386919255820913,2.0473350855159707,-4.310498734301102,16,16,Sparsame Reisende,Exclusive Discounts,0,1
2.6637741176592113,-0.8162174589737647,-4.614644775968034,-0.6752695640196866,5.2958370452094465,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
-0.007695223852199007,6.891670878703394,0.33676945040524975,0.23270384072850359,6.792776828976725,28,28,Vielflieger,Free Checked Bag,0,2
1.2129961520030204,6.7140964531847445,0.14013252944012167,-0.24223600563426473,7.6854441442328225,28,28,Vielflieger,Free Checked Bag,0,2
5.748538498086543,-1.502879811604093,-4.914638258293786,-2.08441008486869,5.207802381317154,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
6.146283695196218,-2.0447538723260963,-5.3321066915731326,-1.8570076910523179,5.535748686568617,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
-4.692642778153704,7.995939882270351,1.1595940518079708,2.113468297163064,-4.17796091567575,16,16,Sparsame Reisende,Exclusive Discounts,0,1
-11.2099007876534,1.1815588899452942,-0.12404627449508876,-1.9352664539544788,0.5969161130899319,34,34,Business-Reisende,No Cancellation Fees,0,4
-11.358083315531612,1.1037160224257496,-0.12677935069393165,-1.9478636296605973,0.4246901707445869,34,34,Business-Reisende,No Cancellation Fees,1,4
4.098081626226332,-1.4102723530123422,-4.529744216528355,-2.1540816797879234,4.730409968361176,26,26,Premium-Reisende,1 Night Free Hotel with Flight,1,0
-5.169528414969759,7.973015698324515,1.1993872355740265,2.241315239491308,-3.849424632804351,16,16,Sparsame Reisende,Exclusive Discounts,0,1
0.269257362987247,6.941397148204761,0.30744989084966845,0.16840621325925564,6.9960786902630705,28,28,Vielflieger,Free Checked Bag,0,2
-11.258207913928864,1.156182313605596,-0.12493725036753744,-1.939373101116348,0.5407708950003527,34,34,Business-Reisende,No Cancellation Fees,0,4
1.6048425600568215,-1.664888296824128,-5.053954991718762,-0.030803313215730377,4.87692927245824,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
3.850292176953007,-1.8759692811966087,-4.599937307131144,-2.3127764087186833,5.493669452635238,26,26,Premium-Reisende,1 Night Free Hotel with Flight,1,0
4.62078830046541,4.057817198327946,5.228922117514047,1.1109234222851998,-0.9194678743638542,57,57,Gelegenheitsreisende,Free Hotel Meal,0,3
-11.298781111177682,1.1348685051323066,-0.1256855817754272,-1.9428222776287258,0.49361447763997246,34,34,Business-Reisende,No Cancellation Fees,0,4
5.2333648120966645,-1.5598734548655895,-4.642892001657309,-2.476206706985538,4.444860156524093,26,26,Premium-Reisende,1 Night Free Hotel with Flight,0,0
-4.920050814161758,8.069718771761229,1.19665478636117,2.2371078765316046,-3.6927141731801507,16,16,Sparsame Reisende,Exclusive Discounts,0,1
